Time	Step	Training loss	Validation loss	Full Validation loss
05:21:36	1352	3.4641	-	-
05:21:34	1351	2.6690	-	-
05:21:32	1350	2.9910	-	-
05:21:30	1349	1.2542	-	-
05:21:28	1348	1.5496	-	-
05:21:28	1347	2.2160	-	-
05:21:26	1346	1.8763	-	-
05:21:24	1345	0.5334	-	-
05:21:22	1344	2.7719	-	-
05:21:20	1343	3.3488	-	-
05:21:20	1342	0.9053	-	-
05:21:18	1341	0.5262	-	-
05:21:16	1340	1.3247	-	-
05:21:14	1339	1.2745	-	-
05:21:12	1338	1.4745	-	-
05:21:12	1337	2.7111	-	-
05:21:10	1336	1.9711	-	-
05:21:08	1335	2.3572	-	-
05:21:06	1334	2.9613	-	-
05:21:04	1333	3.4359	-	-
05:21:04	1332	1.5050	-	-
05:21:02	1331	2.7026	-	-
05:21:00	1330	1.8298	-	-
05:20:58	1329	1.4905	-	-
05:20:56	1328	0.4845	-	-
05:20:54	1327	2.0936	-	-
05:20:54	1326	3.5236	-	-
05:20:52	1325	0.3121	-	-
05:20:50	1324	1.7597	-	-
05:20:48	1323	2.0288	-	-
05:20:46	1322	0.5899	-	-
05:20:44	1321	2.3022	-	-
05:20:44	1320	0.7482	-	-
05:20:41	1319	2.1010	-	-
05:20:39	1318	1.8641	-	-
05:20:37	1317	2.8293	-	-
05:20:35	1316	2.1500	-	-
05:20:35	1315	3.0002	-	-
05:20:33	1314	3.2367	-	-
05:20:31	1313	2.3483	-	-
05:20:29	1312	3.4791	-	-
05:20:27	1311	3.0383	-	-
05:20:27	1310	2.6702	-	-
05:20:25	1309	0.3624	-	-
05:20:23	1308	2.3488	-	-
05:20:07	1307	0.6051	-	-
05:20:05	1306	2.9095	-	-
05:20:05	1305	3.1639	-	-
05:20:01	1304	3.1719	-	-
05:20:01	1303	3.2344	-	-
05:19:59	1302	1.7075	-	-
05:19:57	1301	1.8405	-	-
05:19:55	1300	3.2366	2.7931	-
05:19:47	1299	1.2276	-	-
05:19:45	1298	3.0168	-	-
05:19:43	1297	2.7327	-	-
05:19:41	1296	4.0240	-	-
05:19:40	1295	2.9195	-	-
05:19:38	1294	2.7095	-	-
05:19:38	1293	3.3457	-	-
05:19:36	1292	0.7754	-	-
05:19:33	1291	1.2723	-	-
05:19:31	1290	3.2465	-	-
05:19:29	1289	2.5444	-	-
05:19:27	1288	2.6985	-	-
05:19:27	1287	2.2245	-	-
05:19:25	1286	3.5005	-	-
05:19:23	1285	3.4170	-	-
05:19:21	1284	0.7083	-	-
05:19:19	1283	3.6459	-	-
05:19:19	1282	3.4610	-	-
05:19:17	1281	1.9756	-	-
05:19:15	1280	2.0846	-	-
05:19:13	1279	2.4897	-	-
05:19:11	1278	3.4425	-	-
05:19:09	1277	2.4699	-	-
05:19:09	1276	3.1615	-	-
05:19:07	1275	2.7101	-	-
05:19:05	1274	2.9209	-	-
05:19:03	1273	2.2077	-	-
05:19:01	1272	1.2752	-	-
05:18:59	1271	2.8153	-	-
05:18:59	1270	3.3906	-	-
05:18:57	1269	2.7305	-	-
05:18:55	1268	1.2544	-	-
05:18:53	1267	0.2966	-	-
05:18:51	1266	2.4206	-	-
05:18:51	1265	2.6381	-	-
05:18:49	1264	1.6529	-	-
05:18:47	1263	2.2057	-	-
05:18:45	1262	1.6320	-	-
05:18:43	1261	0.6373	-	-
05:18:43	1260	1.3613	-	-
05:18:41	1259	3.6512	-	-
05:18:38	1258	3.4792	-	-
05:18:36	1257	1.7017	-	-
05:18:34	1256	3.5167	-	-
05:18:32	1255	3.3015	-	-
05:18:32	1254	3.0793	-	-
05:18:30	1253	3.8501	-	-
05:18:28	1252	3.4723	-	-
05:18:26	1251	3.0499	-	-
05:18:26	1250	3.6601	-	-
05:18:24	1249	1.2765	-	-
05:18:22	1248	0.8557	-	-
05:18:20	1247	0.3380	-	-
05:18:18	1246	0.3975	-	-
05:18:16	1245	2.2006	-	-
05:18:16	1244	1.7071	-	-
05:18:14	1243	3.4687	-	-
05:18:12	1242	3.3463	-	-
05:18:10	1241	3.5364	-	-
05:18:10	1240	1.4240	-	-
05:18:08	1239	3.7557	-	-
05:18:06	1238	2.6547	-	-
05:18:04	1237	3.3566	-	-
05:18:02	1236	3.6080	-	-
05:18:00	1235	1.4370	-	-
05:17:58	1234	0.2988	-	-
05:17:58	1233	3.5510	-	-
05:17:56	1232	1.0529	-	-
05:17:54	1231	2.2488	-	-
05:17:52	1230	0.6065	-	-
05:17:50	1229	1.7473	-	-
05:17:50	1228	3.2094	-	-
05:17:48	1227	3.2549	-	-
05:17:46	1226	2.3494	-	-
05:17:44	1225	1.5291	-	-
05:17:41	1224	2.2507	-	-
05:17:41	1223	2.6130	-	-
05:17:39	1222	1.8882	-	-
05:17:37	1221	3.8121	-	-
05:17:35	1220	3.1213	-	-
05:17:33	1219	1.3872	-	-
05:17:33	1218	1.8961	-	-
05:17:31	1217	0.7335	-	-
05:17:29	1216	2.2372	-	-
05:17:27	1215	2.4106	-	-
05:17:25	1214	1.9777	-	-
05:17:23	1213	3.2287	-	-
05:17:23	1212	1.8015	-	-
05:17:21	1211	3.2796	-	-
05:17:19	1210	1.8159	-	-
05:17:17	1209	2.3600	-	-
05:17:13	1208	2.4247	-	2.7548
05:16:40	1207	3.5956	-	-
05:16:38	1206	0.3988	-	-
05:16:38	1205	2.3187	-	-
05:16:36	1204	2.6917	-	-
05:16:34	1203	0.5703	-	-
05:16:32	1202	1.0845	-	-
05:16:30	1201	2.7553	-	-
05:16:28	1200	2.8712	3.7284	-
05:16:20	1199	3.3791	-	-
05:16:18	1198	1.8750	-	-
05:16:16	1197	3.3200	-	-
05:16:16	1196	1.7756	-	-
05:16:14	1195	1.0564	-	-
05:16:12	1194	2.8476	-	-
05:16:10	1193	3.4265	-	-
05:16:08	1192	1.0603	-	-
05:16:08	1191	3.8024	-	-
05:16:06	1190	3.3895	-	-
05:16:04	1189	3.6887	-	-
05:16:02	1188	2.0181	-	-
05:16:02	1187	3.9481	-	-
05:16:00	1186	0.6311	-	-
